,a,period,core_mass,core_radius,fenv,mass,radius,age,t_eq,t_final,R_final,M_final,Lx0,Lx_final,fenv_final,frac_env_lost,t_ML_final_Gyr,Mdot_final,Mdot_final_M_earth_per_Gyr,Mdot_final_M_earth_per_yr,Mdot_init,Mdot_init_M_earth_per_Gyr,Mdot_init_M_earth_per_yr,beta_init,beta_final,mass_star,Lbol,Lx_age,flux,flux_EARTH,core_comp,track#
planet_0788,0.05628179529307437,4.876957865497888,2.0349038731662024,1.1834884552800131,0.7192012239832382,2.049644944695765,2.8814350611129775,10.0,1166.4762670738096,15.539999999999882,1.1834884552800131,2.0349038731662024,1.9632229747690422e+30,1.9632229747690422e+30,0.0,1.0,0.0,155684780743.65836,0.8220655413968546,8.220655413968545e-10,7064650788672.392,37.30362047997586,3.730362047997586e-08,2.5889608149300534,1.5938666191994852,1.0,0.9772372209558107,1.9632229747690422e+30,419928505.68741906,305.84741856330595,rock,8
planet_4404,0.2481386558337852,45.14796413019617,2.814965617152212,1.296057294635413,3.0465370220751207,2.9034193629505998,3.2196124978823373,10.0,555.5365860273395,10008.4,2.020720357550202,2.8716712162806233,1.9632229747690422e+30,5.5096496413327756e+26,1.9746549955623467,0.35892371073057644,370.9571453815428,28949556.68802643,0.00015286293803584125,1.5286293803584125e-13,107140831063.3296,0.5657379280946362,5.657379280946361e-10,1.5928088320204015,1.3571738824016795,1.0,0.9772372209558107,1.9632229747690422e+30,21603414.09728501,15.734460376755287,rock,5
planet_1867,0.3452796369868248,74.10584400596348,3.5233547350084087,1.3801284802217988,4.991304098235622,3.708455001478425,3.7784651484192855,10.0,470.9495595389098,10002.0,2.3688905631131867,3.7002131713285213,6.860952034869126e+29,5.5152227494134726e+26,4.779682362370856,0.04452630083727581,2041.1539014823813,16409288.273581376,8.664630148254367e-05,8.664630148254367e-14,23125070086.572372,0.12210778195371348,1.2210778195371348e-10,1.463658052029251,1.27650469435737,1.0,0.9772372209558107,1.9632229747690422e+30,11157561.98436115,8.12641076792509,rock,2
planet_4219,0.09396284633436423,10.52037573547678,2.1560929625243435,1.2028144289126055,1.112479888612731,2.1803489056007392,2.8039463849765998,10.0,902.7797235488744,29.040000000000497,1.2028144289126055,2.1560929625243435,1.9632229747690422e+30,1.9632229747690422e+30,0.0,1.0,0.0,43129194900.091156,0.22773597256068406,2.2773597256068407e-10,1282423340367.0625,6.771606271101455,6.7716062711014556e-09,2.1178162860344907,1.4401883031522074,1.0,0.9772372209558107,1.9632229747690422e+30,150660329.52046156,109.73075711614098,rock,7
planet_0077,0.38057899136371054,85.75556062355143,4.753443782399118,1.500838893218188,7.5309247030472175,5.14057674647879,4.4808960942973775,10.0,448.57748621556584,10008.0,2.651784958388746,5.1171941640018215,1.9632229747690422e+30,5.509997691164628e+26,7.108395146730927,0.06039935796362852,5596.255873148197,12309647.300544014,6.49988831547251e-05,6.499888315472509e-14,51126284502.490585,0.26996316883634464,2.6996316883634467e-10,1.378124267589315,1.211973383462257,1.0,0.9772372209558107,1.9632229747690422e+30,9183783.127261084,6.688844229614773,rock,6
planet_0109,0.05838274502983587,5.152504644004793,9.911359244435884,1.8436948188560374,4.955711016935225,10.428148130185829,3.979937946515867,10.0,1145.2956808294766,385.30999999999966,1.8436948188560374,9.911359244435884,1.9632229747690422e+30,5.4018953172654026e+29,0.0,1.0,0.0,19541871281.678555,0.1031873438003676,1.0318734380036761e-10,925051833021.1307,4.884570169930659,4.884570169930659e-09,1.4008998262771457,1.1786579195313969,1.0,0.9772372209558107,1.9632229747690422e+30,390249378.0247648,284.2311566094427,rock,8
planet_3730,0.10415385091574322,12.277445296123133,5.063928344826673,1.5276654222416695,3.3471251089934295,5.23929407225306,3.433856526934397,10.0,857.476471772507,10008.3,2.329576142606272,5.16178375675591,1.9632229747690422e+30,5.509736650425479e+26,1.8957673653252343,0.4419923814913374,127.81924791332784,144986747.2951558,0.000765576495924867,7.655764959248671e-13,402745596620.7082,2.1266258355487198,2.12662583554872e-09,1.5271101263940667,1.3474161964222762,1.0,0.9772372209558107,1.9632229747690422e+30,122619792.5920957,89.30793342468733,rock,3
planet_4662,0.2924936763292082,57.77890723839758,5.433018735204904,1.5580567457910728,7.357433812104262,5.864495079060923,4.385295959698431,10.0,511.68376505338983,10010.0,2.737187404667335,5.8543361834527525,6.860952034869126e+29,5.5082578008936526e+26,7.19667328703637,0.02354450192421293,3919.479459299273,20357327.691792674,0.00010749321501053922,1.0749321501053922e-13,28000051320.96466,0.1478492453684888,1.478492453684888e-10,1.3664771387902717,1.2172562070192952,1.0,0.9772372209558107,1.9632229747690422e+30,15548134.136806697,11.324205489298395,rock,2
planet_1715,0.13400807122211073,17.918041305116898,6.29480022743521,1.6236285552475056,5.146890218771906,6.636366737952731,3.8443440979465935,10.0,755.9523127325036,10006.0,2.648869200177325,6.577403467211776,1.9632229747690422e+30,5.511738478913179e+26,4.296577535274185,0.17262603014451514,602.6029952532535,88814845.66392776,0.000468970851460501,4.689708514605009e-13,223900820347.3766,1.1822680946645039,1.182268094664504e-09,1.4104859325971548,1.2735409239212392,1.0,0.9772372209558107,1.9632229747690422e+30,74071191.05699447,53.948427572465015,rock,4
planet_0550,0.08509957495691137,9.067505306723346,2.565510285201075,1.2628169051352856,1.280692273174707,2.5987928240950793,2.886472373719202,10.0,948.6285318993704,210.79999999999842,1.2628169051352856,2.565510285201075,1.9632229747690422e+30,4.702253859242973e+28,0.0,1.0,0.0,2093992543.0907717,0.01105695178034935,1.105695178034935e-11,1302344222431.7056,6.876794913313939,6.8767949133139394e-09,2.007924649918522,1.4062343044338033,1.0,0.9772372209558107,1.9632229747690422e+30,183677711.23696506,133.77837672029503,rock,3
