,a,period,core_mass,core_radius,fenv,mass,radius,age,t_eq,t_final,R_final,M_final,Lx0,Lx_final,fenv_final,frac_env_lost,t_ML_final_Gyr,Mdot_final,Mdot_final_M_earth_per_Gyr,Mdot_final_M_earth_per_yr,Mdot_init,Mdot_init_M_earth_per_Gyr,Mdot_init_M_earth_per_yr,beta_init,beta_final,mass_star,Lbol,Lx_age,flux,flux_EARTH,core_comp,track#
planet_0788,0.11263863907718213,13.317729232496939,12.68901402985451,1.975747949955127,10.185638152903703,14.128045636461588,4.983003548553265,10.0,896.2919905234482,10010.0,3.4792515541469324,14.05773868889939,9.612899457608641e+29,7.717635709661276e+26,9.73644971879926,0.04885712533303314,1607.1261634249295,161289403.3893687,0.0008516597453232948,8.516597453232948e-13,152202259629.96265,0.8036767137215916,8.036767137215915e-10,1.2923748508233344,1.1968072254032176,1.0749333380969164,1.364373696378259,2.750677307377811e+30,146375971.29302865,106.61032140788686,rock,2
planet_4404,0.3661658687055381,72.85187196693606,3.1888766386971903,1.3421167470768887,4.623542793806416,3.3434630852383034,3.7796677935084704,10.0,579.7738553613536,10000.3,2.2518826108257244,3.2927666734223733,5.344088763448247e+30,1.5017020342996532e+27,3.1550985851421944,0.3279486200133795,505.07485598951064,38954520.052925095,0.0002056923513280981,2.056923513280981e-13,188397451250.82324,0.9947989265264401,9.947989265264402e-10,1.6369182747099387,1.3639460361475573,1.2340861233055958,2.524356662924327,5.344088763448247e+30,25627499.667689793,18.66533114908215,rock,5
planet_1867,0.06965511421644996,6.497558977753035,2.0172141265206385,1.1805986832483675,0.8286451929400634,2.0340693443637763,2.9549672442289863,10.0,1133.3299005738081,16.719999999999985,1.1805986832483675,2.0172141265206385,2.667002752345107e+30,2.667002752345107e+30,0.0,1.0,0.0,131521691495.01031,0.694476685568251,6.94476685568251e-10,6451293712621.994,34.06489852922089,3.4064898529220886e-08,2.6003739616401154,1.5807646192590261,1.0679549549554561,1.3338036203534498,2.667002752345107e+30,374194255.00341594,272.5376948313299,rock,6
planet_4219,0.2635649212137898,51.50785941547601,4.5869663592765315,1.485931843327129,5.645340037017759,4.86140945351943,3.925586303237222,10.0,480.78728858739777,10010.0,2.501229715316791,4.853432350356729,4.66348800596794e+29,3.744042234619265e+26,5.490258683849014,0.029066510799651366,3025.3528824094315,16680361.728365382,8.807765620649865e-05,8.807765620649865e-14,20910818299.06027,0.11041582281811096,1.1041582281811096e-10,1.3711589918822151,1.2251039041162723,0.9206738053599157,0.618511260498343,1.3344309578824739e+30,12119470.216497317,8.826999429349831,rock,2
planet_0077,0.241867779174096,39.66568407381898,4.742179133786456,1.4998421753441378,5.534922979102413,5.020034157953833,3.998239339514887,10.0,689.454406183334,10008.0,2.6029635569745264,4.97432202889886,4.659396944914455e+30,1.307710165307048e+27,4.666824820824729,0.16451791430424653,564.8759636001291,77829101.41895027,0.0004109626007679382,4.109626007679382e-13,264110956953.5805,1.394590503835941,1.394590503835941e-09,1.5250998799124214,1.3288172829442215,1.1997632359773507,2.202615680359487,4.659396944914455e+30,51250007.553923644,37.327026623396684,rock,3
planet_0109,0.2725873825200228,53.21627194402803,3.0922155138974032,1.330599223260054,3.6367917264167176,3.2089171472148816,3.3586290778242063,10.0,493.3515254523974,10001.0,2.190824119517378,3.199522889782899,2.7020531671343352e+29,4.4308163849523064e+26,3.353855546030393,0.08049808014619934,965.9121763785412,21039317.57070605,0.000111094340158149,1.1109434015814899e-13,14025064936.709366,0.07405683808814864,7.405683808814864e-11,1.4964764219743498,1.3096107295535881,0.9541591549394963,0.7334962322569553,1.5769636859533126e+30,13436854.965698425,9.786493055861927,rock,1
planet_3730,0.2015309475968901,34.30874866147984,4.613884200936557,1.4883682861296352,4.732432259954223,4.843079665397092,3.6654380099141033,10.0,554.2897383327847,10008.0,2.4414609895981796,4.82761602625859,1.3825973961146918e+30,3.880409183423688e+26,4.427274749265334,0.06746921966758367,1389.3032594577799,29134787.53095359,0.0001538410162554781,1.5384101625547812e-13,79982036927.22308,0.4223307902964634,4.223307902964634e-10,1.3981026216387744,1.2540338729393374,0.927695667421362,0.6388388729820907,1.3825973961146918e+30,21410119.038439006,15.593677376867447,rock,3
planet_4662,0.12474095880793108,16.87932503565899,12.377299361835654,1.9620360596770963,10.584719903504254,13.84248793771964,5.064469078578342,10.0,689.4174670275404,10001.0,3.332664653017989,13.721108965165667,1.2562492099724633e+30,3.5297005458718044e+26,9.793739024605062,0.08284187752470168,4725.424309060401,53856316.23751366,0.00028437861140922924,2.8437861140922923e-13,142738864552.60162,0.7537069545674682,7.537069545674681e-10,1.23398711502891,1.148014457008704,0.90885388629851,0.5857438974292403,1.2562492099724633e+30,51239025.073525496,37.31902773017152,rock,7
planet_1715,0.08382622139709944,8.675551005082438,7.2449920953560385,1.6888160617229047,4.398998763534425,7.578364244780047,3.7887139926498965,10.0,999.578024375552,359.0299999999989,1.6888160617229047,7.2449920953560385,2.4002302711433225e+30,8.400286959501758e+29,0.0,1.0,0.0,14871526526.064592,0.07852642658229109,7.85264265822911e-11,664119053145.5514,3.506761459715148,3.5067614597151482e-09,1.464158648321224,1.1970898616384613,1.044077944029248,1.1689261267013176,2.4002302711433225e+30,226432377.45810524,164.91797338536435,rock,8
planet_0550,0.18775880743290796,31.03372923031822,3.4806219599870607,1.375421009612869,3.2298533421626834,3.5967931022094493,3.233746666200003,10.0,567.1692276467986,10005.0,2.184429016754386,3.5789338338812673,1.3091139321107115e+30,3.675911300570745e+26,2.7469598058366373,0.15373239848148895,545.976348744919,34101372.56246419,0.00018006617707928965,1.8006617707928964e-13,91537394130.72945,0.4833467799786883,4.833467799786882e-10,1.4851643664227119,1.3151184555005386,0.9169058810616222,0.6078714721727332,1.3091139321107115e+30,23470501.362862267,17.094320002084682,rock,3
