nsat,x,y,z,vx,vy,vz,tub,pii,pt,age,feh,alp,mass,nsat2,lbol,lu,lg,lr,li,lz,ltot,mtot,tac,eps
1.0,-81.92,154.85,-89.646,27.789,-12.216,55.966,0.0,-2325.7,-41756.0,12.633,-1.871,0.2815,46.227,1.0,28.297,35.861,27.806,24.603,25.408,26.507,457000.0,1640000000.0,0.313,0.507
1.0,-82.313,155.28,-89.58,42.948,8.3972,68.347,0.0,-2110.6,-41692.0,11.426,-1.6458,0.062174,8.6309,1.0,5.7198,7.0282,5.5316,5.0124,5.195,5.4132,457000.0,1640000000.0,0.313,0.507
1.0,-82.281,155.18,-89.049,33.886,9.4412,65.918,0.0,-2046.6,-41737.0,12.646,-1.875,0.2855,6.1403,1.0,3.7548,4.7603,3.6901,3.2637,3.3706,3.5167,457000.0,1640000000.0,0.313,0.507
1.0,-82.119,154.91,-89.453,30.487,3.8808,44.557,0.0,-2405.6,-41751.0,9.223,-1.4363,-0.13679,26.336,1.0,20.312,23.126,18.792,17.422,18.353,19.369,457000.0,1640000000.0,0.313,0.507
1.0,-82.215,154.78,-89.282,41.066,-4.2987,46.261,0.0,-2270.5,-41770.0,11.874,-1.7084,0.12252,15.055,1.0,9.7381,12.224,9.5382,8.5735,8.8458,9.1894,457000.0,1640000000.0,0.313,0.507
1.0,-82.018,154.44,-89.79,19.155,3.3944,55.597,0.0,-2109.4,-41786.0,12.87,-1.9557,0.37008,7.6876,1.0,4.6169,5.9022,4.5471,3.9906,4.1219,4.3075,457000.0,1640000000.0,0.313,0.507
1.0,-82.186,154.77,-89.134,48.581,3.6688,48.199,0.0,-2185.2,-41782.0,11.513,-1.6571,0.072977,3.4739,1.0,2.2915,2.8283,2.222,2.0105,2.0816,2.1676,457000.0,1640000000.0,0.313,0.507
1.0,-81.945,154.87,-88.848,31.847,3.507,41.798,0.0,-1997.6,-41802.0,5.6137,-1.2937,-0.26639,4.9793,1.0,5.6051,6.3847,5.1927,4.7201,4.9439,5.2236,457000.0,1640000000.0,0.313,0.507
1.0,-82.232,154.6,-89.71,38.509,-10.346,54.241,0.0,-2215.2,-41761.0,12.994,-3.9999,0.29984,15.581,1.0,9.1259,12.255,9.1018,7.7225,7.9763,8.3791,457000.0,1640000000.0,0.313,0.507
1.0,-81.702,154.42,-89.503,42.607,10.409,66.423,0.0,-2052.7,-41824.0,12.509,-1.8351,0.24617,6.0836,1.0,3.7595,4.7498,3.6913,3.2774,3.3843,3.5279,457000.0,1640000000.0,0.313,0.507
1.0,-81.802,154.93,-89.319,24.326,2.3017,59.381,0.0,-2229.2,-41775.0,12.882,-1.9603,0.37542,24.599,1.0,14.759,18.877,14.538,12.753,13.172,13.767,457000.0,1640000000.0,0.313,0.507
1.0,-81.997,154.6,-89.856,20.955,18.046,51.047,0.0,-2161.7,-41766.0,12.285,-1.7819,0.19413,5.4951,1.0,3.453,4.3456,3.3859,3.0217,3.1192,3.2477,457000.0,1640000000.0,0.313,0.507
1.0,-81.707,154.6,-89.875,21.101,4.2726,51.779,0.0,-2066.8,-41781.0,12.471,-1.8253,0.23658,8.7307,1.0,5.4108,6.8307,5.3114,4.7203,4.874,5.0797,457000.0,1640000000.0,0.313,0.507
1.0,-82.057,155.28,-89.484,16.511,2.5938,51.5,0.0,-2165.8,-41713.0,8.5136,-1.3968,-0.17339,6.551,1.0,5.3841,6.0739,4.9577,4.5989,4.8525,5.1309,457000.0,1640000000.0,0.313,0.507
1.0,-81.841,155.11,-89.58,47.197,14.937,69.373,0.0,-2229.0,-41737.0,11.152,-1.6129,0.030458,8.9089,1.0,5.9938,7.2733,5.7532,5.2354,5.4416,5.6815,457000.0,1640000000.0,0.313,0.507
1.0,-81.868,154.86,-90.007,44.772,9.0789,58.93,0.0,-2100.6,-41736.0,7.1445,-1.3407,-0.22445,8.9428,1.0,8.4079,9.4957,7.7383,7.1399,7.5273,7.9583,457000.0,1640000000.0,0.313,0.507
1.0,-82.632,154.79,-89.601,23.901,10.195,56.8,0.0,-2073.9,-41725.0,12.87,-1.9557,0.37008,9.1227,1.0,5.4788,7.004,5.396,4.7355,4.8914,5.1117,457000.0,1640000000.0,0.313,0.507
1.0,-82.614,154.27,-89.372,35.484,7.9756,43.592,0.0,-1928.2,-41796.0,10.057,-1.5017,-0.075299,3.4776,1.0,2.5003,2.9186,2.3429,2.1602,2.2651,2.3801,457000.0,1640000000.0,0.313,0.507
1.0,-81.772,154.67,-89.239,33.964,9.43,49.904,0.0,-2141.6,-41810.0,12.098,-1.7459,0.15894,13.074,1.0,8.3252,10.461,8.1592,7.3069,7.5415,7.8436,457000.0,1640000000.0,0.313,0.507
1.0,-82.43,154.28,-89.533,48.573,2.4119,59.208,0.0,-2002.6,-41795.0,10.617,-1.5552,-0.024544,3.9139,1.0,2.7166,3.2282,2.5742,2.3591,2.4636,2.5811,457000.0,1640000000.0,0.313,0.507
1.0,-82.233,155.32,-89.114,33.425,6.818,38.532,0.0,-2029.5,-41722.0,12.335,-1.7928,0.20491,3.7317,1.0,2.3363,2.9423,2.2915,2.0428,2.109,2.1964,457000.0,1640000000.0,0.313,0.507
1.0,-81.99,154.95,-89.481,45.496,8.4944,47.001,0.0,-2391.9,-41752.0,1.3074,-1.1955,-0.35037,30.636,1.0,130.41,155.24,128.03,102.0,101.12,105.09,457000.0,1640000000.0,0.313,0.507
1.0,-82.081,154.88,-89.435,26.124,-12.256,52.497,0.0,-2412.0,-41758.0,8.4389,-1.3932,-0.1767,52.683,1.0,43.642,49.184,40.163,37.258,39.319,41.581,457000.0,1640000000.0,0.313,0.507
1.0,-82.257,155.09,-89.896,32.743,23.441,59.954,0.0,-2128.3,-41696.0,11.899,-1.7124,0.12638,3.5815,1.0,2.3126,2.9031,2.2653,2.0354,2.1001,2.182,457000.0,1640000000.0,0.313,0.507
1.0,-81.825,154.97,-89.685,43.764,1.1059,69.344,0.0,-2244.5,-41746.0,9.2977,-1.4412,-0.13215,22.763,1.0,17.443,19.89,16.15,14.969,15.764,16.632,457000.0,1640000000.0,0.313,0.507
1.0,-82.104,154.87,-89.504,26.885,-3.8839,46.73,0.0,-2424.5,-41753.0,9.0114,-1.4234,-0.1488,84.428,1.0,66.327,75.256,61.256,56.816,59.891,63.247,457000.0,1640000000.0,0.313,0.507
1.0,-81.841,155.42,-89.63,31.864,-10.57,48.799,0.0,-2035.6,-41701.0,11.052,-1.6014,0.019635,5.3662,1.0,3.6307,4.387,3.476,3.1678,3.2958,3.4434,457000.0,1640000000.0,0.313,0.507
1.0,-81.795,154.8,-89.938,44.515,-8.2875,53.552,0.0,-2113.9,-41751.0,11.264,-1.626,0.043135,7.0672,1.0,4.7254,5.7622,4.5491,4.1326,4.2906,4.4763,457000.0,1640000000.0,0.313,0.507
1.0,-82.008,155.08,-89.22,40.196,7.5578,36.187,0.0,-2208.4,-41753.0,10.194,-1.5142,-0.063382,5.7287,1.0,4.0812,4.7841,3.8346,3.5305,3.6985,3.8836,457000.0,1640000000.0,0.313,0.507
1.0,-82.104,155.09,-89.514,34.242,-13.889,60.227,0.0,-2310.5,-41728.0,7.1072,-1.3395,-0.22564,10.45,1.0,9.8599,11.142,9.0772,8.3728,8.8259,9.3304,457000.0,1640000000.0,0.313,0.507
1.0,-82.118,154.79,-89.756,53.457,2.5671,54.679,0.0,-2296.7,-41745.0,10.741,-1.568,-0.01224,15.623,1.0,10.765,12.849,10.228,9.3598,9.764,10.222,457000.0,1640000000.0,0.313,0.507
1.0,-82.126,154.86,-89.276,26.569,3.6474,39.783,0.0,-2307.6,-41767.0,11.974,-1.7244,0.13806,11.616,1.0,7.4613,9.3693,7.3105,6.5607,6.7704,7.0368,457000.0,1640000000.0,0.313,0.507
1.0,-82.092,154.8,-89.67,14.651,16.921,65.187,0.0,-2351.1,-41751.0,12.994,-3.9999,0.29984,8.3725,1.0,4.9038,6.5851,4.8909,4.1497,4.2861,4.5025,457000.0,1640000000.0,0.313,0.507
1.0,-82.764,154.79,-90.017,31.261,4.9086,59.191,0.0,-1914.2,-41692.0,6.6965,-1.3258,-0.23793,3.931,1.0,3.8863,4.4063,3.5822,3.2946,3.4691,3.6658,457000.0,1640000000.0,0.313,0.507
1.0,-81.771,155.33,-89.318,26.565,14.401,48.147,0.0,-2050.1,-41733.0,12.546,-1.8454,0.25626,4.2879,1.0,2.6423,3.3412,2.595,2.3017,2.3769,2.4783,457000.0,1640000000.0,0.313,0.507
1.0,-82.243,155.0,-89.473,39.963,5.1839,36.01,0.0,-2311.2,-41733.0,8.9492,-1.4198,-0.15215,20.109,1.0,15.883,18.006,14.662,13.6,14.339,15.145,457000.0,1640000000.0,0.313,0.507
1.0,-81.957,154.94,-89.479,54.657,23.508,54.961,0.0,-2378.3,-41755.0,12.994,-3.9999,0.29984,9.9617,1.0,5.8346,7.8351,5.8192,4.9374,5.0996,5.3572,457000.0,1640000000.0,0.313,0.507
1.0,-82.213,154.76,-89.785,27.876,9.3248,55.588,0.0,-2246.5,-41741.0,12.695,-1.8914,0.30199,18.968,1.0,11.554,14.672,11.36,10.031,10.36,10.813,457000.0,1640000000.0,0.313,0.507
1.0,-81.987,155.06,-89.172,25.879,-7.9243,59.175,0.0,-2183.1,-41759.0,8.0904,-1.3772,-0.19138,6.2127,1.0,5.3363,5.9949,4.9011,4.5452,4.7989,5.0775,457000.0,1640000000.0,0.313,0.507
1.0,-82.227,154.61,-89.502,32.486,17.088,63.416,0.0,-2256.9,-41773.0,12.7,-1.893,0.30365,32.369,1.0,19.71,25.031,19.379,17.11,17.671,18.444,457000.0,1640000000.0,0.313,0.507
1.0,-82.18,154.38,-89.012,36.403,4.0651,54.813,0.0,-1986.4,-41831.0,10.156,-1.5108,-0.066782,9.4025,1.0,6.7155,7.8632,6.305,5.8073,6.0852,6.3909,457000.0,1640000000.0,0.313,0.507
1.0,-82.237,155.3,-89.228,39.645,11.271,62.594,0.0,-2077.4,-41716.0,10.082,-1.5039,-0.073181,5.1336,1.0,3.6847,4.3043,3.4543,3.1841,3.3382,3.5074,457000.0,1640000000.0,0.313,0.507
1.0,-82.418,154.79,-89.558,30.234,8.8234,54.52,0.0,-2213.3,-41740.0,12.994,-3.9999,0.29984,23.923,1.0,14.012,18.816,13.975,11.857,12.247,12.865,457000.0,1640000000.0,0.313,0.507
1.0,-82.348,154.74,-89.144,43.959,-16.138,50.043,0.0,-2136.3,-41775.0,7.4183,-1.3506,-0.21563,4.7771,1.0,4.376,4.9278,4.0218,3.7178,3.9223,4.1489,457000.0,1640000000.0,0.313,0.507
1.0,-81.745,155.2,-89.687,28.27,11.674,52.253,0.0,-2110.3,-41726.0,8.7874,-1.4108,-0.16046,11.271,1.0,9.029,10.216,8.3268,7.7242,8.1461,8.6074,457000.0,1640000000.0,0.313,0.507
1.0,-82.374,154.91,-89.419,37.199,18.485,52.597,0.0,-2239.1,-41738.0,12.559,-1.8489,0.2597,13.128,1.0,8.082,10.222,7.9378,7.0383,7.2682,7.579,457000.0,1640000000.0,0.313,0.507
1.0,-82.141,154.86,-89.263,35.103,28.365,56.856,0.0,-2296.1,-41767.0,11.052,-1.6014,0.019635,4.3038,1.0,2.9118,3.5185,2.7878,2.5406,2.6433,2.7617,457000.0,1640000000.0,0.313,0.507
1.0,-81.767,154.58,-89.509,39.038,1.3501,47.814,0.0,-2161.0,-41803.0,7.7046,-1.3615,-0.20571,19.167,1.0,17.084,19.204,15.69,14.527,15.335,16.225,457000.0,1640000000.0,0.313,0.507
1.0,-81.712,154.96,-89.547,32.157,-8.4994,55.752,0.0,-2204.1,-41762.0,11.911,-1.7143,0.12829,24.391,1.0,15.736,19.755,15.415,13.848,14.289,14.846,457000.0,1640000000.0,0.313,0.507
1.0,-81.825,154.43,-89.058,28.628,6.9506,52.433,0.0,-1994.7,-41844.0,8.9865,-1.422,-0.15015,4.3634,1.0,3.4354,3.8966,3.1722,2.9423,3.1018,3.2758,457000.0,1640000000.0,0.313,0.507
1.0,-82.156,154.87,-89.447,29.247,0.64111,53.136,0.0,-2389.3,-41753.0,12.297,-1.7847,0.19698,89.355,1.0,56.099,70.614,55.012,49.081,50.667,52.757,457000.0,1640000000.0,0.313,0.507
1.0,-82.477,155.19,-89.41,45.298,7.1765,64.072,0.0,-2087.7,-41703.0,12.509,-1.8351,0.24617,7.2213,1.0,4.4626,5.638,4.3816,3.8904,4.0172,4.1877,457000.0,1640000000.0,0.313,0.507
1.0,-81.805,154.33,-89.307,24.579,2.3368,48.107,0.0,-2017.4,-41840.0,10.256,-1.5201,-0.05794,6.2797,1.0,4.4556,5.2337,4.1917,3.8568,4.0385,4.239,457000.0,1640000000.0,0.313,0.507
1.0,-82.312,154.12,-89.484,35.958,-11.045,48.832,0.0,-1942.2,-41823.0,12.658,-1.8791,0.28953,3.4611,1.0,2.1145,2.6818,2.0782,1.8374,1.8976,1.98,457000.0,1640000000.0,0.313,0.507
1.0,-81.924,154.4,-89.105,23.517,-6.4636,52.236,0.0,-2020.9,-41838.0,10.492,-1.5429,-0.036145,4.8269,1.0,3.3757,3.995,3.1905,2.9281,3.0608,3.2091,457000.0,1640000000.0,0.313,0.507
1.0,-81.895,154.98,-89.974,19.465,1.7519,57.671,0.0,-2115.8,-41724.0,7.5801,-1.3566,-0.21019,7.0955,1.0,6.4001,7.1984,5.879,5.4398,5.741,6.0737,457000.0,1640000000.0,0.313,0.507
1.0,-81.979,154.78,-89.405,13.971,-0.59462,58.456,0.0,-2362.6,-41775.0,11.675,-1.679,0.094032,19.878,1.0,13.003,16.187,12.673,11.432,11.815,12.285,457000.0,1640000000.0,0.313,0.507
1.0,-82.276,154.6,-89.391,38.049,-7.9055,55.27,0.0,-2211.0,-41779.0,12.198,-1.7645,0.17709,38.365,1.0,24.259,30.502,23.78,21.258,21.942,22.834,457000.0,1640000000.0,0.313,0.507
1.0,-82.076,154.95,-89.617,22.076,16.54,60.056,0.0,-2383.3,-41738.0,10.754,-1.5693,-0.011088,38.876,1.0,26.767,31.962,25.439,23.276,24.278,25.414,457000.0,1640000000.0,0.313,0.507
1.0,-81.481,154.46,-89.661,23.528,5.0418,58.668,0.0,-1967.0,-41823.0,10.293,-1.5236,-0.054467,3.5531,1.0,2.5152,2.9578,2.3679,2.1779,2.2799,2.3927,457000.0,1640000000.0,0.313,0.507
1.0,-82.111,154.93,-90.007,32.119,5.6714,60.625,0.0,-2123.8,-41715.0,12.919,-1.9724,0.39039,25.941,1.0,15.518,19.873,15.29,13.398,13.839,14.467,457000.0,1640000000.0,0.313,0.507
1.0,-81.82,154.74,-89.688,36.96,1.3648,39.45,0.0,-2228.0,-41771.0,12.135,-1.7527,0.16547,16.308,1.0,10.358,13.017,10.152,9.0853,9.3773,9.7552,457000.0,1640000000.0,0.313,0.507
1.0,-82.068,155.15,-89.294,41.921,8.6626,56.108,0.0,-2212.6,-41738.0,12.745,-1.9088,0.31958,17.536,1.0,10.64,13.533,10.465,9.2258,9.5289,9.949,457000.0,1640000000.0,0.313,0.507
1.0,-81.889,155.0,-89.163,18.21,8.388,44.576,0.0,-2171.9,-41773.0,6.3853,-1.3161,-0.24659,5.5418,1.0,5.7063,6.4627,5.2586,4.8268,5.0781,5.3684,457000.0,1640000000.0,0.313,0.507
1.0,-82.021,155.2,-89.586,38.991,10.532,41.93,0.0,-2216.1,-41717.0,10.505,-1.5441,-0.035062,10.648,1.0,7.4407,8.8094,7.0343,6.455,6.7469,7.0732,457000.0,1640000000.0,0.313,0.507
1.0,-82.428,154.85,-89.27,27.013,-1.5238,69.608,0.0,-2166.8,-41751.0,11.277,-1.6275,0.044557,8.5596,1.0,5.7191,6.9778,5.5076,5.0024,5.193,5.4173,457000.0,1640000000.0,0.313,0.507
1.0,-82.022,154.93,-89.419,30.128,-3.2035,56.561,0.0,-2390.1,-41757.0,12.335,-1.7928,0.20491,97.425,1.0,60.994,76.816,59.825,53.333,55.06,57.341,457000.0,1640000000.0,0.313,0.507
1.0,-82.211,154.95,-89.732,42.899,29.198,50.376,0.0,-2284.4,-41724.0,11.837,-1.7028,0.11714,4.9382,1.0,3.2024,4.0195,3.1363,2.8207,2.9101,3.0226,457000.0,1640000000.0,0.313,0.507
1.0,-81.897,154.88,-89.613,41.367,8.9088,64.642,0.0,-2328.5,-41757.0,12.994,-3.9999,0.29984,49.278,1.0,28.862,38.758,28.786,24.424,25.226,26.501,457000.0,1640000000.0,0.313,0.507
1.0,-81.734,154.82,-89.252,38.537,-3.3612,37.551,0.0,-2159.4,-41795.0,12.048,-1.7371,0.15035,4.5687,1.0,2.9195,3.6673,2.8609,2.5643,2.6465,2.7518,457000.0,1640000000.0,0.313,0.507
1.0,-82.105,154.83,-89.565,33.955,0.71768,57.457,0.0,-2406.2,-41753.0,11.762,-1.6916,0.10622,62.698,1.0,40.834,51.093,39.916,35.949,37.11,38.558,457000.0,1640000000.0,0.313,0.507
1.0,-81.504,154.37,-89.408,32.301,-8.6719,58.281,0.0,-1948.5,-41846.0,12.26,-1.7768,0.1891,3.7134,1.0,2.3377,2.9411,2.292,2.0464,2.1124,2.1992,457000.0,1640000000.0,0.313,0.507
1.0,-82.057,154.63,-89.804,33.919,-7.6882,42.981,0.0,-2208.7,-41763.0,12.061,-1.7393,0.15255,10.742,1.0,6.858,8.6153,6.7208,6.0226,6.2158,6.4634,457000.0,1640000000.0,0.313,0.507
1.0,-82.1,154.65,-89.897,40.993,-1.8427,43.726,0.0,-2167.8,-41752.0,10.667,-1.5603,-0.019655,10.326,1.0,7.1459,8.5066,6.7785,6.2087,6.4809,6.7878,457000.0,1640000000.0,0.313,0.507
1.0,-82.084,154.69,-89.738,35.669,-5.0871,50.247,0.0,-2274.0,-41758.0,11.974,-1.7244,0.13806,31.954,1.0,20.525,25.774,20.11,18.048,18.625,19.357,457000.0,1640000000.0,0.313,0.507
1.0,-82.593,154.87,-88.91,38.741,-4.2425,55.435,0.0,-1939.8,-41762.0,12.994,-3.9999,0.29984,5.3118,1.0,3.1112,4.1778,3.1029,2.6327,2.7192,2.8566,457000.0,1640000000.0,0.313,0.507
1.0,-82.111,154.98,-89.348,37.537,2.8992,58.213,0.0,-2334.5,-41750.0,11.637,-1.6738,0.08917,60.209,1.0,39.461,49.024,38.412,34.678,35.853,37.294,457000.0,1640000000.0,0.313,0.507
1.0,-81.901,154.94,-89.268,53.754,-15.878,59.632,0.0,-2254.0,-41771.0,9.9573,-1.4926,-0.083875,7.5162,1.0,5.4445,6.3335,5.0915,4.6989,4.9306,5.1841,457000.0,1640000000.0,0.313,0.507
1.0,-82.296,154.57,-89.53,38.701,14.673,39.151,0.0,-2204.2,-41773.0,8.7002,-1.4063,-0.16466,7.5206,1.0,6.0727,6.865,5.5978,5.1927,5.4771,5.7885,457000.0,1640000000.0,0.313,0.507
1.0,-82.022,154.87,-89.855,29.231,1.0907,63.37,0.0,-2234.6,-41736.0,6.8707,-1.3315,-0.23271,37.376,1.0,36.164,40.976,33.33,30.689,32.327,34.161,457000.0,1640000000.0,0.313,0.507
1.0,-82.263,154.97,-89.763,39.816,-6.1715,56.097,0.0,-2237.8,-41717.0,11.824,-1.7009,0.11528,15.117,1.0,9.8123,12.315,9.6095,8.644,8.9177,9.2619,457000.0,1640000000.0,0.313,0.507
